,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,weights,isSignal
26120,59,32825.08356379166,4118.471105408336,0.6684185862541199,2.2279118728647904,1.051700566937941,33.340049743652344,1.8949919841519127,3153.351625001564,0.282747923790215,4535.133762635894,0.2291972342859252,1389.873400313856,0.1607109032385432,0.9758285736594764,1.0
26208,235,109105.61998136045,5622.095082119407,-0.2711183130741119,3.251407284730318,2.046914690887557,7.914791584014893,9.05809951759496,839.9368814976516,0.4436207690052786,3055.608895537716,0.4147017207016792,2215.675981591171,0.3848458105885349,1.0,0.0
33268,122,118770.07646225498,3007.057734054832,-0.3965033292770386,3.642413885225476,0.3159121974191206,8.18265438079834,3.249863870995214,3439.4097142533046,0.2495114764308086,4185.284422473579,0.2476629629888376,802.1394727227928,0.291795272506304,0.3473335984621817,1.0
22948,135,68055.30558619596,3977.691452107425,-0.3118427097797394,3.726054421175078,5.341356146634888,9.661155700683594,5.940932918684161,1496.3788799966403,0.1741505162323568,2239.527097574117,0.1882557407799554,746.1801811895034,0.2322106576448006,1.0,0.0
18221,134,76033.7568662255,3814.259520617933,-0.4738206565380096,4.234157554929598,4.160160401598513,13.04075813293457,6.373338569968899,1608.8625426058002,0.4729655326933653,2489.6247820436624,0.4032100251559194,886.6445525688409,0.327432563187356,1.0,0.0
12270,68,192081.18458698725,4139.61365346331,0.3780168890953064,4.264520243228129,0.4667232703530082,-1.0,12.335499096104703,960.8532018992288,0.4021796835337897,2861.22118587501,0.3406688708801269,1903.1354378761384,0.3358381669233041,0.7316219692223095,1.0
29322,162,120151.52773419669,3452.66102631589,-0.1249923035502433,3.706439268442093,0.6253307278781416,3.394207000732422,1.2607028199393573,1129.9970145978264,0.1558333389746324,2566.0241155138456,0.148475730531946,1490.9770746057766,0.1582889022395522,1.0,0.0
37765,313,122243.77889758255,3419.9768873246176,0.0882170796394348,3.5722174158572795,2.226944135200969,4.937502384185791,4.781951262464523,1397.7864970731405,0.1991674448276846,3464.415821760744,0.1709140452910639,2070.4566545813027,0.145714585707483,1.0,0.0
5291,244,176423.55872131875,3436.323457156166,-0.491450697183609,4.093630402476363,1.4699111923849206,4.073444843292236,17.478713640960503,1797.0608691416105,0.3123326207013692,2850.660830907817,0.252309011237097,1056.1453742738258,0.1698367520372355,1.0,0.0
19559,170,160839.5049705789,5998.350193046246,0.0368158817291259,3.59633963002168,0.5188060465075179,183.0655059814453,25.51725052959272,821.4837664251194,0.4683506889210524,3410.173632207017,0.6497048555667091,2676.1961789263505,0.7346009129492236,1.8427820657055056,1.0
26409,213,69703.80694451657,3794.2071700255415,-0.2636977136135101,3.232233679528366,2.5703069473292337,26.4010066986084,9.873685864866973,1375.444113186719,0.367790342465343,2204.9619748389155,0.3629530037566134,829.9383857251091,0.3406583901100075,1.0,0.0
17245,185,151670.93521311507,4464.944051677781,-0.1533314734697342,3.810549183369488,3.723243900556129,17.473142623901367,13.168075512502249,1582.2989559814544,0.2081300993898824,2445.2616923755995,0.19721266086274,884.1098887581792,0.3073235488637514,1.0,0.0
27941,150,92079.76455175842,4129.5007505571,-0.6527847051620483,4.4921653645872,3.967324649933882,12.334677696228027,2.2356938620892466,1058.3718725003987,0.2855846253384639,2435.5423866160604,0.2370453927889537,1442.806852111536,0.2105594910599126,1.0,0.0
526,178,51872.57375913415,4079.841545729815,-0.5540093779563904,3.269564049433105,0.1689095284320189,35.6081657409668,4.182995791295988,1649.183002125598,0.4289213644411659,2371.746462756928,0.491370397600261,830.1336567685952,0.6974765024526245,0.3828610761000948,1.0
14885,137,57363.31402051174,3717.799950079937,0.2765538096427917,2.339836774502253,0.0676905984116785,461.1690673828125,12.830947920555207,7001.017442815008,0.5049580511518411,7895.251727848834,0.5868843363543027,924.6602881599274,1.18808377406764,0.9936550551817412,1.0
30663,159,56852.62872756903,3672.8723125951938,-0.0989615842700004,2.7293290067579976,0.5920864650684154,10.44713020324707,3.216275145974861,2161.270220680422,0.1996334563327038,5224.378089463594,0.1584478386173639,3079.2276281723634,0.1389338867735417,1.0,0.0
40472,287,115858.54482097634,3019.291522901242,-0.3330606520175934,3.7436589655462953,5.37983476268758,23.20456314086914,11.864964171953757,2170.609816825677,1.0684444727867926,3168.021342556276,0.9878887922660528,998.7439836614786,0.8362068742958664,1.0,0.0
13755,139,191394.2951395328,3051.9153676059013,-0.0554479658603668,4.126495873726034,6.299871558245382,55.88526153564453,27.38423433784483,2954.710299741753,0.3984268288950134,5225.7961665663925,0.4631331918094035,2312.6217247963405,0.5870622220120518,0.4225171584195293,1.0
32198,147,149032.87714294906,4399.844768809152,0.2885081768035888,3.80786942366091,1.6229187294398475,8.910470962524414,5.574493205448319,842.1247202760408,0.7627575898467621,2436.4264319794947,0.5254612635355902,1630.3979070766743,0.4797170349935015,1.0,0.0
26929,244,57220.17160876528,3212.328791663276,-0.6159324049949646,3.013574882144704,6.288319660259052,5.161663055419922,10.363943256203845,1538.2794443143289,0.2817620470499457,2887.690851040174,0.345905822112639,1351.610229763004,0.2135341762606748,1.0,0.0
21076,86,232726.5174319759,3845.8968933696215,0.2347301542758941,4.270376108083478,0.2966263185598032,24.417585372924805,15.938300828193702,1718.6771773954526,0.2913482194743538,3864.549448021076,0.3605627846878607,2153.718499711604,0.4721911194353602,0.5311489710304121,1.0
2565,207,55919.931392293285,3050.145626615433,-0.6793988943099976,3.3616850056375767,5.8632254638161445,5.36929988861084,3.064495026705432,2375.6453585920603,0.2950102524414252,3705.795490587012,0.3076150525720281,1335.0514287097708,0.331654234604421,1.0,0.0
3845,51,138624.69350143467,3974.75537322904,-0.1285230070352554,3.7890174100295617,8.515578314243065,11.265487670898438,16.995540995775674,1905.2235447841808,0.2283760571178224,3459.0281457064057,0.1998121435152673,1564.7414177428805,0.1712531676397282,1.0,0.0
9080,83,151812.5059198895,4437.883391936188,-0.1161369681358337,3.8796633120041983,0.3918510621273371,4.242262840270996,5.434156358626426,1982.7981522333528,0.1937096526696638,3471.748966803332,0.2541653881077778,1545.1912938532885,0.3531991268570377,0.4595637599447303,1.0
