,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,weights,isSignal
31099,72,119584.81135505314,3959.027536156908,0.243638128042221,3.624854864726706,2.496660630715466,11.664472579956056,12.717601138972713,1423.5417660539504,0.2269266954467435,2643.610903990979,0.3405561196933392,1272.7260262915977,0.4384132106315471,0.9606900808822768,1.0
22579,155,115865.75669058664,4654.014562359278,-0.1100125536322593,3.349321814945028,8.13805626864195,12.231499671936035,5.798886474875455,1765.2827739486952,0.583720927783514,3467.0120722595834,0.1814887843927771,1742.944575165831,0.1363762332557348,1.0,0.0
32835,103,59675.01779442771,4996.198262650736,-0.064647227525711,3.078170960261508,1.3039051145584732,118.8095474243164,16.899685830215898,927.3332165408506,1.5604567539653855,2339.030373830148,1.477118868723699,1449.4797095854774,1.5038894001791092,0.8686062206276116,1.0
19212,206,92765.4372644264,9318.573900936704,-0.1706510037183761,2.79347263180173,0.1703844867630878,19.66263008117676,4.468341877027762,1780.8619536617653,0.4078030980095598,2468.6342595248893,0.3431571611908656,770.4980754031772,0.2564750058706526,1.1558379748813958,1.0
6980,42,53941.2482059567,3058.107301678942,0.2538720071315765,3.7827797344525633,1.4415468472701571,51.50957107543945,1.9046287433513056,888.6966082977925,0.1929926733532079,2691.028084060068,0.1829479399554107,1895.669457474061,0.1905817705796806,0.7497982032116587,1.0
27795,143,157132.05801047548,3630.124660526711,-0.3116127252578735,2.8365780779139462,7.118397345579581,4.996316909790039,22.847802554586814,10647.196998933568,0.1497898683110587,15171.154023782205,0.1299258057559265,4534.810416323929,0.0822774193384294,1.0,0.0
1791,210,140740.15101135324,4543.997955580665,-0.3015511929988861,3.541718124018589,2.407667270494453,9.039824485778809,4.210313398025374,920.2500782939384,0.180688581179314,3751.501763597405,0.2157180969971144,2840.4423211359176,0.2638438170063563,1.0,0.0
32634,48,33380.60507592375,3241.8218479932966,0.5194112062454224,2.8867312921940806,3.448672633798762,22.0451602935791,3.776030709620884,1434.3346767752637,0.5102271598122778,3256.36491312015,0.489222870890716,1876.1591994550995,0.5552926680598269,0.7507039822288841,1.0
18041,118,84867.0563394448,3138.8311354350667,0.2138058692216873,3.0148420051419205,1.369521811619156,137.38209533691406,12.807366556400266,2568.9412292615807,0.9750967870321458,5134.92507411744,1.0510669574756348,2621.342204138941,1.251265496805334,0.8615057114852224,1.0
8095,43,369557.220016202,12046.051341863016,0.7641040682792664,3.745767356368422,2.248275111086429,14.618643760681152,28.211852441482822,3592.4414520629284,0.6796111447860762,4969.933132769495,0.774300210222075,1414.9519155434225,1.1772514660724378,0.365121083425802,1.0
22237,150,93872.9578544984,4577.911405054849,-0.2392162233591079,3.583666207914912,5.8802762213736175,4.644678115844727,5.274123145435801,1641.6218815854031,0.256392905455421,3308.882503101613,0.2323695857812353,1667.514015773181,0.2531121024515305,1.0,0.0
37496,166,182077.2377821832,3885.512388255033,0.1536697894334793,4.331632473593945,1.8390473603410933,4.818053245544434,5.769148540463583,2116.465945910777,0.1755706414655253,3662.753136128944,0.1494347692121374,1576.53588211623,0.1250967770702908,1.0,0.0
17055,135,170809.29130256956,3568.542583551527,-0.2412459999322891,3.667298726954959,1.841012877577554,1107.2625732421875,59.40057946560791,2637.7019391887325,2.4715432270630284,5582.61332467152,3.3352439049442832,2986.218743243703,3.275490875171363,0.4194880348143109,1.0
5865,113,196701.30255413376,3802.729157326689,-0.3596754372119903,4.282520085155756,1.8218692968423824,4.486053466796875,5.990207888242983,1201.5499647122465,0.3151343286863028,2068.2613147042016,0.357005593637318,883.4070686835147,0.4592940016739658,1.0,0.0
19086,30,97037.12993193636,7511.157746318116,0.2466880828142166,2.9198968285400086,0.2129147477134775,79.5096435546875,3.1552029839615714,1086.548371403685,0.2379114769486003,3365.783217380466,0.380630029356402,2344.938023402751,0.4780540816740127,0.5196978564543784,1.0
