,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,isSignal,weights
14657,95,53728.93659147908,3847.641653745337,0.4207580685615539,2.747557526169073,0.1767081022655283,18.23288917541504,4.012976836728983,1824.7648100508732,0.2818436148022235,3063.605027863576,0.2530352726536863,1260.5690883485918,0.2077634529431595,0.0,1.0
14885,101,57607.41580166213,4604.038270513691,-0.106436438858509,3.1128253954977416,0.9860194134875624,10.747645378112791,4.244438753239349,718.2863677531407,0.7037739672487116,2422.948522461837,0.4773740175478044,1720.9775225144574,0.4270081475097687,1.0,0.9387330290674656
11459,108,115140.41148131502,12059.632649544574,0.5011706948280334,2.7534332381335185,0.2754392991900894,1208.2138671875,23.232445862844493,1095.9746979287434,1.2809277474403633,2777.0991564940564,1.4881917600304804,1686.4605802982765,3.135875934023733,1.0,1.3405608900819794
5571,138,53475.49086797759,3053.774542783937,-0.4577592313289642,3.2028623627387627,0.0264624690432178,6.310869693756104,6.081825791628546,546.2261086766176,0.5075859129708922,2781.9417327838373,0.3346016947663295,2292.746222153686,0.2854837879057609,0.0,1.0
2609,28,36124.33063928933,3459.833681734526,0.1406467109918594,3.0448493455265,2.2119789561259364,-1.0,6.010905691324727,656.1234034082308,0.6707731276657298,2057.1396594786656,0.7782131782987723,1408.4913061144537,0.9157943754075976,1.0,0.79458407240869
12283,105,245197.85461500837,14970.753049537345,0.1287803947925567,2.674350790060916,1.914074317801575,252.73831176757807,19.777169500461905,8482.804838737007,0.3315647302840607,18804.32022124969,0.3515106097214151,10328.843400347398,0.3980358256035513,1.0,0.2309107195088666
15361,140,117314.30709636692,3931.863290412463,0.0753170624375343,2.997769794947267,0.0360762244247563,18.72295570373535,5.194020487060099,7095.790430762453,0.1882835045975811,8545.554923771773,0.1817914391529896,1479.6677752117196,0.1720445467479028,1.0,0.6925994696977208
6053,164,249805.99531138787,4631.219301917907,0.5003336668014526,4.342299863068626,2.608250316768352,7.269008636474609,2.6674779836073017,1166.758250195815,0.1988867841275713,2363.052795035751,0.1823550779573708,1220.426731434542,0.1728440634579584,0.0,1.0
8584,71,70046.68617543628,3596.5186884903583,-0.3333396911621094,3.5282385096878714,2.1366583548295406,4.998535633087158,4.845219514119047,958.37711877945,0.5606311070982061,2273.9747647896183,0.6467554489322274,1351.7121946997447,0.8445322616390986,1.0,0.7570875834994716
9388,117,74580.08643039686,4318.288678291443,-0.0378034375607967,3.632984457547256,3.510331598914976,6.756540775299072,4.045926696443513,1042.7986195330332,0.1494922035954047,2591.320372412562,0.1958721324335581,1560.9535383860723,0.2403855097149719,0.0,1.0
