,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,isSignal,weights
3455,120,67231.06975817414,4426.483386946296,-0.3315815925598144,2.8341161551270893,0.9184858306100784,3.14200210571289,1.2782661839675162,1339.2622933914029,0.148123384599885,4777.624609463775,0.1807679678886961,3478.9826154351504,0.2004638763832325,0.0,1.0
15483,75,60004.03323042501,3618.828316058132,0.4359481632709503,3.050221675658217,1.4572983018519483,11.227740287780762,12.09066535017821,1472.589161205528,0.4697525750816838,2112.6541591562022,0.5159688887081327,833.8264405738163,0.7131458799964702,1.0,1.441709578144511
11805,8,64903.11257885968,5210.060040071939,0.8303112983703613,2.865935810763986,1.955583920448541,-1.0,7.603306514931513,876.2910279125309,0.481777439115237,3804.8266314511625,0.650805789000544,2932.1048215403216,0.7668089803370797,1.0,0.807424984323306
8596,119,72041.72349764536,5516.2491895465855,-0.1344381719827652,3.248565466189296,0.6791849835708694,609.5728759765625,16.273912703772254,1517.9027616418648,1.4070583462831028,2025.4253942567227,1.474082092603339,637.9032854594809,1.817031808376717,1.0,0.7698530360224735
12787,214,56949.477953221634,3064.876742341113,-0.6220645308494568,3.3613964690925275,2.711541085491993,4.010338306427002,2.033751887522172,2516.394306641946,0.1346715674563822,3503.760054070484,0.1665543948183918,1082.4826851271107,0.2625321553243293,1.0,0.466633557971557
13979,143,79228.80798751889,4153.518631679444,-0.4985523819923401,4.13741481305319,7.27497632943603,6.319672584533691,7.009236899837696,1222.9586851566162,0.4435361545396625,2141.292286268625,0.4242371506008834,977.2459731817778,0.4557259040595926,0.0,1.0
5587,121,48671.00735563338,4470.796365210472,-0.2371272593736648,2.7475059692224937,4.31828973434806,13.940959930419922,1.6904800685971346,1008.0051905620328,0.3089703763435445,3828.5689800738496,0.239649259959406,2872.76044424174,0.2196401876839823,0.0,1.0
8796,251,237183.4121632492,8623.116174915604,0.1603593230247497,3.634017795466324,2.30251804253862,239.5082092285156,37.976049256472166,2925.70831254587,1.4090436304754426,4649.910030828553,1.1781294783680725,1725.3080526387166,1.0350346713544916,1.0,2.93213914639277
595,103,219905.67661279315,7006.537571382028,0.1036964058876037,3.3321649225964967,4.968631443741154,1410.7147216796875,41.1322278402228,5592.859768758734,1.1161484384295568,9195.893642273164,0.9417668341072708,3604.496759562977,0.7911802146452962,1.0,0.3231334419299553
15467,183,105034.90069527834,3748.5075342163823,-0.1220582500100135,3.2630848888445847,3.833660202416273,8.690183639526367,6.498223833200515,2647.450966363683,0.0849374795950282,4583.069333594023,0.092639201070639,1936.6027840525276,0.109659542046665,0.0,1.0
17524,196,71523.92165831539,4428.437565496796,-0.3076637089252472,3.1017567869815794,0.7911085817646379,9.5925874710083,18.20614838354143,1335.0284360267387,0.2487030349628178,2077.7029538603088,0.2641986236682251,743.2842097744308,0.2990798413964501,0.0,1.0
12574,150,146556.08563600108,3466.325918729144,-0.6616666913032532,4.698766928319049,6.443909967573494,8.925339698791504,33.439061279293696,1436.3925720011223,0.2095096138254433,2749.4543714563315,0.2912707197184548,1315.260442536002,0.4215841676319068,0.0,1.0
8464,222,378983.64054981753,11355.806718179989,-0.2138218879699707,4.035751250805531,1.9133739892051629,6.0291290283203125,7.909057432656131,1376.690182720862,0.4070859653973475,2560.652152523315,0.3496042914403373,1185.3908351678783,0.3244991723819779,0.0,1.0
7184,136,110088.69919957445,3438.1843904098446,-0.0141487773507833,3.6068034308065946,0.9967463522287722,61.676055908203125,20.543542210874925,2416.8289118595053,0.6559227808823206,3700.748428439848,0.5477669234762085,1328.1677603751718,0.3424000397186424,1.0,1.1289232310898858
2141,50,90098.4303090792,3480.1449364725127,-0.1035701408982276,3.2313106575395465,1.3721503918220597,7.310958862304687,8.51569840882121,2384.010430262418,0.1782074527762273,4871.730791833637,0.2494205433426779,2526.621017901181,0.3241264744949473,1.0,0.3696274312845829
14966,221,164167.28232113714,3445.742848548066,-0.4658116400241852,4.743515017018424,0.7351662452085812,29.258411407470703,7.216947455454902,1437.700313452007,0.474518124760624,2439.657434108629,0.4429471855878553,1058.5936890044263,0.4394188442363189,0.0,1.0
