,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,weights
0,167,170283.3886936869,7120.593873456476,0.062462978065013885,2.9374236235972346,1.116978247918743,14.922483444213867,5.7067368127503455,5561.763600028322,0.1490831548289883,11600.956098132601,0.10975889019896817,6037.318533430218,0.0870011557369729,0.5717411880332122
1,94,73401.59834174372,3469.870490065758,-0.30720919370651245,3.5656279405801667,1.3451595807030865,51.12018585205078,11.95420503965028,1218.267363840959,1.043437664607154,3033.238883586323,0.8911666029336747,1906.6320751786382,0.8538807782139538,0.5099911462627841
2,111,100562.4936256057,5121.76252001906,0.6907122731208801,3.1021645810312353,0.3571405412361561,4.020315170288086,3.435958562031853,3280.844553845854,0.2794134898782952,5065.261069332952,0.23741174891750683,1864.4765797670939,0.18996895239191905,2.6911695415358765
3,192,141779.0960680553,3328.9521222027597,0.12935534119606018,3.514080351637831,0.30479692012844994,115.78771209716797,15.81331714536833,2833.517565588751,0.3838870273887872,6190.363892575298,0.5845401731070033,3380.1898566944433,0.8018253840658907,1.7225386817813613
4,112,101102.28909550556,3990.2973767066046,0.38289475440979004,3.340347939725193,5.488276720827182,34.17180633544922,15.986219798939336,2140.3149914206556,0.37635456733904454,3266.361780636064,0.37727690994197055,1204.3143065661886,0.4483201699304789,2.3969690880337264
5,130,117909.31369433356,11734.941923314871,0.7952014803886414,2.2226211684775357,5.741228703319986,57.23655319213867,4.0270742555855605,6197.803731322896,0.11252714163952066,13676.133741394167,0.08506589125893248,7481.240216441389,0.07646026861029646,1.1521924056069213
6,111,62725.672884001695,4062.1062776881768,0.055721741169691086,2.832992977605509,3.394368063908854,292.6285705566406,10.815946176363868,3119.00422809909,0.7300560339993604,4858.84440880751,0.8647990938658825,1797.1810149509147,1.1530121966992515,0.74042770214624
7,181,172989.0509463215,3441.43248211714,-0.2965189516544342,3.481424376444137,1.0199360463487561,30.127323150634766,27.261473515934533,1808.710143638278,0.8932264235343587,7557.724188649649,0.8602117131522435,5782.707580536992,0.8973070377099318,0.4233737414999675
8,98,90032.80218348185,3265.7156427576138,0.18191605806350708,3.446817927348883,3.7463775651739,18.319538116455078,4.090256853792927,1180.4618269982304,0.5921251288872585,2517.0707794776054,0.5010663943781642,1501.1399711552551,0.5706858754186597,1.3845198024779228
9,154,87346.82806399302,4947.278024821815,-0.14261522889137268,3.3005681710460757,1.565088061417463,54.89372253417969,7.571931970772055,1572.4806839195194,0.4446030058394336,2636.319693398356,0.48040588863114897,1110.3352634227197,0.5287419282162682,1.6284730321129646
10,46,46125.748626723594,4904.265040570683,0.675113320350647,2.6274533719071616,2.0366072130134345,115.7706069946289,16.00586893954839,1998.5293659338608,1.7369037146825368,2786.5796566400177,1.452416390478151,833.3177188203789,1.2452346710071445,1.0160259223563683
11,156,52310.448343237505,3783.052085585574,0.2209099531173706,2.3100567141073007,2.168144560305732,315.78692626953125,18.329662701206477,2985.2529937176178,3.5610395787968008,6724.182543216684,3.106310380134093,3782.1490919978287,2.9599664704981006,1.73566816651646
12,136,168619.20667914732,4328.727238368327,0.33805492520332336,3.1011079809798043,0.35286410381635513,17.503734588623047,13.885952442306575,5119.305872098286,0.2493730386585449,11495.449281215588,0.28903792103351406,6407.515016509911,0.34783844467102915,0.9247567849099408
13,228,84329.91543949317,4541.605898133488,-0.11556559056043625,2.89772114965245,0.9519440473301886,46.34743118286133,3.637801058331805,1196.2870810135835,0.3669799553440576,4791.335670864649,0.30771969125274307,3660.3003027074155,0.31600708805252964,2.1766666039254194
14,96,118861.58278657647,4980.5018884121455,0.6548559665679932,2.611437174715121,3.012014974968781,259.4131164550781,11.021387116420517,6686.376548183627,0.1367827792161916,12733.473948758054,0.22315426743005376,6059.5839277792,0.31144003770848566,1.0141220463424894
15,94,99906.67491225859,10479.980979363494,0.4970562756061554,2.505810127635061,1.552850223006403,436.62158203125,9.382968797773975,3814.3292412952505,0.6577553357862476,6842.7483785537515,0.5942863450190345,3031.9561767446444,0.5653255497144742,0.5895878801387782
16,95,98569.50599673424,3811.5218495791,-0.23133254051208496,3.763348407782309,3.1479130610783908,5.309642791748047,10.109678199626336,1089.2118586390804,0.6631782119743126,2563.1896217993703,0.8042151927240032,1477.5622350682897,1.1039845936665742,0.8243775230740583
17,20,246844.9795190125,5529.922785557847,1.0,3.677209320174553,0.28398457190675497,1231.43701171875,30.477204461203456,2688.814551768121,1.2109835932360091,7005.154904332951,0.8513116174546974,4315.711204818969,0.6716353506859151,0.4402100691577884
18,156,59661.74114431366,3183.1887219524147,-0.38294509053230286,3.218384867892457,3.9899109678252183,44.79677200317383,16.73347352016311,2692.1390491577513,0.6418358299979667,3201.1970513075257,0.7314257269413939,576.6258739425417,1.1423646406478725,0.7181792577310594
19,49,228373.64956310886,11133.09448897283,0.8514405488967896,3.537805530904036,6.459935165901641,4842.01708984375,37.63005439565561,2151.825538211683,1.1327697615742967,3179.1008712055677,1.4559325738924145,1086.5239576281788,1.7705137443983063,0.5962063957810627
