,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,weights,isSignal
25024,38,87900.29973265399,5466.760984045263,0.4351860582828522,3.0775497802284413,0.9372902265502312,-1.0,6.180367841803592,2507.052814002928,0.3796681616165131,3914.43475093148,0.3826107829460975,1407.42919630083,0.3893204644234228,0.5766833615807422,1.0
3973,162,51178.57213630224,4403.468490081292,-0.5757876038551331,3.0729385545266323,3.1170983105919507,10.827972412109377,2.557883916443433,825.49807177243,0.1971724051949927,2182.4482593866915,0.2362159698982557,1378.3051123753405,0.3014699907527139,0.4938146934248011,1.0
9775,181,42793.12599557289,3419.968298573869,-0.5584970116615295,3.2881316593973287,5.200347728697052,135.6526336669922,2.028429611793312,1610.5960066074915,0.2081868824757823,2737.953820830439,0.2206640076858432,1171.3832593135348,0.285513491680673,0.7104187281913467,1.0
6937,198,87340.64487853326,3341.177549989474,-0.5609925985336304,3.459840631953764,1.3406156446984885,5.29803991317749,6.54142003084957,845.4452445900918,0.4323414769894418,2468.820630584571,0.2926022835435202,1728.9605553626725,0.239626014678019,1.0,0.0
15176,154,46040.21929703111,4622.179734855424,-0.4440344572067261,3.14209636030166,1.6204487864836248,12.07857608795166,1.4144381817527416,726.8760725873428,0.3034668349933558,2582.3236453434724,0.2314674975369595,1980.941765979,0.2235120948134849,1.0,0.0
18051,100,291530.3049189725,5285.590590117264,-0.3137326240539551,4.505946142606592,1.4708833262527214,3.7596375942230233,12.706202230800518,1712.721174388873,0.5172904049599216,2305.517506938518,0.6225013325446853,597.9849955475471,1.270127893471326,1.0,0.0
3048,134,167753.53271705663,14416.282630764936,0.7105972170829773,2.045030975853704,0.7069102554571443,23.525012969970703,4.130976487466372,4770.62606478437,0.062403594211569,28604.361356443533,0.0999867111385459,23826.48672980555,0.1097131721666938,1.007262585778283,1.0
13495,89,85694.98806025779,8130.605344335527,-0.5753501653671265,2.713668131279272,1.479711073438787,3.6338179111480713,5.324589999239385,1055.0606231397323,0.3476698350187877,3998.651795318017,0.7221135466800985,2999.875038364098,0.914920992212145,1.0,0.0
363,104,243199.41621726347,4658.048671656702,-0.2378851026296615,4.677339403433525,1.5777975938713311,6.899786949157715,5.201002559122611,1378.7326854035196,0.1795183415704132,2369.437255425853,0.1948430483898812,996.3237245995904,0.2882353209001807,1.0,0.0
14842,112,55022.5020961784,5487.028620045859,0.6894868016242981,2.40926012477224,3.0068131656672046,117.53937530517578,5.945891278858029,1724.1460102033122,0.4771087226813455,4834.4769481403055,0.4410889453497132,3122.384447901956,0.4395952332693144,2.250028984730792,1.0
4761,144,77407.10019102716,4243.117488099137,0.1490974724292755,2.4709664032061616,3.760772647103793,20.81641960144043,6.519739925027684,5339.46646986382,0.315926705444738,9360.817769447283,0.3758462619229918,4031.7068203057615,0.4946972633015225,0.8018794056293574,1.0
7872,181,42177.423938619446,3456.0921460445743,-0.0107384882867336,2.75417197131402,0.295591223086754,57.4529914855957,6.910291720325561,2544.607322515598,0.921410755125388,3954.257984957481,0.8922465219347488,1455.5818334947712,0.9691498737107264,2.5689638420720087,1.0
13379,175,31277.80069066114,3166.440705338,-0.4873539507389068,2.607935555098364,2.9871226463057856,10.902073860168455,1.2514823650375635,1945.6674665779865,0.2425369296534508,4152.394197207196,0.1770563966319024,2268.779450739979,0.1419787319705451,1.0,0.0
25353,242,141704.4519292445,3373.065451437208,-0.40800940990448,3.9623000824514354,3.266035821361459,3.372135162353516,13.242667932482489,1901.3510237723071,0.1961311035774421,2486.132393940435,0.2276155443818312,744.8811730739341,0.4814242822375695,1.0,0.0
24607,62,139572.07079450792,4842.559353154309,0.2045005708932876,3.619350080425807,0.5098652092764234,32.53083419799805,5.480140491812228,2613.7521503195367,0.2225144830417182,4166.657261366719,0.2433855326535602,1568.7557764355802,0.3209278355290714,0.498019713805014,1.0
12647,136,62172.92520762664,4205.9308590883065,-0.6024032235145569,4.004203395034533,3.613063919270044,4.076138496398926,2.0314156049415417,697.5987270630588,0.3576043629671031,2027.694846691681,0.2301457346833428,1342.4996649906473,0.2033700362006487,1.0,0.0
24508,150,157639.9953816514,4730.318225614294,-0.3985092043876648,3.723905565713421,4.488943617264547,15.125006675720217,3.716094247997484,1072.987031841485,0.4118473706548797,3017.811852402333,0.2779866609238358,2030.2359600056343,0.2762158455816042,1.0,0.0
9561,138,215313.61151900416,5162.2845953081705,0.2540701627731323,3.818512329583263,2.023728269081908,67.42731475830078,19.93288487023392,3098.684273978231,0.2999293213781427,5617.930501750622,0.4282448896225398,2562.389731344551,0.6117948303953635,0.9245470838661352,1.0
1602,109,253131.3130064076,5862.022342794205,0.2962650656700134,3.641592145157956,8.511142491786341,347.6083374023437,35.52272349327962,4715.328671322923,1.0183582444192938,7504.828838188117,0.9804243184774968,2836.697553176933,1.0514566784429071,0.5174790104733921,1.0
24102,48,80776.91146767593,3126.993775236332,-0.1349293738603592,3.8750772091855055,0.3546496821797809,45.38051223754883,4.562169705304702,1122.0875962241091,0.4540184510691155,2943.3583282026675,0.284510923979438,1851.2495720458653,0.225296541580103,0.4892430367809677,1.0
20947,179,95066.28521784568,3047.2342501525536,-0.5329607129096985,4.340126239999243,1.508412686554618,3.3100292682647705,1.730089055511305,1548.434732399141,0.3064974372190542,2097.8720846610263,0.2553689960214821,719.1432972641823,0.188410969640042,1.0,0.0
23872,187,133652.89065959826,3755.288800939096,0.0490654967725276,3.7296212990827886,0.9940719125539008,7.386334419250488,1.438699311878609,802.1456471240119,0.17706227230285,2774.6844106132144,0.1359354533289285,2077.15498345694,0.1340423872030257,1.0,0.0
21152,151,99739.27262588272,3434.64359559896,-0.398257166147232,4.259299846309392,6.69918533459636,3.863647699356079,9.03998693251268,819.1615794213008,0.2566055212073589,2355.697514644017,0.2138743021564163,1658.506789856466,0.2342844693200132,1.0,0.0
19761,155,98002.60065332332,4157.488086477272,0.011312467046082,4.467906520310782,0.1059701753859208,18.98945426940918,6.270368471629077,535.4469020360469,0.4205524044592294,2043.9470593192968,0.5149222934869748,1589.0044177723355,0.6447655449806674,1.0,0.0
13861,252,42140.47090635444,3728.091388388939,-0.1057333424687385,2.967244054369384,3.2591447296278844,3.350713968276977,3.3207059580757825,854.7997859733002,0.497678067429467,2513.315421271274,0.3731868449537985,1769.667768254821,0.3179055315414315,1.0,0.0
1619,53,72915.8042687185,5682.531488310604,0.6984483003616333,2.8820629153522503,0.6476018451127423,14.67732048034668,7.125519296865317,1290.8229184903712,0.5545678516530733,3785.272315501225,0.7116029822953654,2495.837548880135,0.8668869916050899,0.9932841040932316,1.0
3606,211,53652.88419655362,4065.1420512847135,-0.4677630662918091,3.594607068670336,0.7871240211928832,7.730376243591309,0.9874289189607546,779.2470173186421,0.1657766225731623,2726.7659059772623,0.2155285215909405,2048.562823371546,0.2354298739735713,1.0,0.0
4383,66,58610.92473703892,3985.50841295398,-0.0819355547428131,3.3234263443680234,6.108816417846221,6.452465534210205,3.442328347209197,2017.958695241308,0.4328043066766648,2828.609886799521,0.3532616936230142,810.5729827720635,0.2345610233849672,1.0,0.0
17735,289,97300.57299275014,5192.54290470784,-0.2394648641347885,3.7078472026042415,0.841636521268507,11.561421394348145,2.444811978455604,1284.7978619611724,0.1611177419796659,2343.7532527550766,0.1357571151329319,1144.270616287948,0.1296734765017117,1.0,0.0
14404,103,63973.77063092768,3319.659284132265,-0.4769905507564544,3.3714200654897413,1.5345722727573805,5.289167881011963,2.3173975705519325,1141.8648034246437,0.2239643447207702,3480.444906574445,0.2318323989597524,2406.424707423858,0.2639688546685662,1.0,0.0
8203,53,147000.91606063372,3703.730113835582,0.0976314172148704,3.840341180050898,0.7688561250139644,60.56329345703125,12.321597654930954,1941.148447388813,0.4059384673806746,4297.944817374928,0.3282310385424745,2387.523454167519,0.3097588337211848,0.3883955786121968,1.0
23496,168,97265.82535667066,3366.323343858305,-0.5309510231018066,4.007976418991844,0.6921338300001674,33.31221008300781,18.35142143649913,2054.60863957105,0.7039545447348642,2575.4362956400223,0.7642516561784312,599.259570553529,0.486770396123488,1.0,0.0
19072,235,123198.33589584273,3006.8967563131787,-0.4753240346908569,4.154481743421304,2.614294563759823,24.811697006225582,4.868335684810568,701.0460646776359,0.2979127935646007,2044.470045684211,0.5254084564008086,1343.6191017174472,0.7978377526763942,1.0,0.0
4417,135,71464.59538149416,3446.2981551098965,0.111806720495224,2.801454521789329,3.657327844689696,60.6328125,6.501669713235208,1896.6194984761703,0.6577857563987922,6605.423089265366,0.4383218696003013,4715.125882529543,0.3689282714085904,0.855287696719592,1.0
25601,138,98833.45941733418,3983.159879448885,0.0221206173300743,3.1666425758976104,2.4567089517129324,13.523961067199709,5.430107568916108,3138.243048793385,0.1100609079866089,5807.451712110915,0.1634718140509105,2717.650706768624,0.2330074885945801,0.7368968752589982,1.0
3894,152,66588.12440637313,3639.8783851767753,-0.7168505787849426,4.02921016712437,2.7211806678991506,9.91010284423828,5.219588545086672,1484.8914263339257,0.7081108943504137,2174.7802024342595,0.5682267103133769,820.8022208181457,0.361743635814137,1.0,0.0
20251,103,63493.86074350797,7248.592115221968,0.5126325488090515,2.593210013953452,6.131796825017999,39.64885711669922,4.208403504893512,1757.812471568,0.3144038612196061,2265.535056294649,0.3555149137651191,619.4593904365322,0.4747509726964565,1.0,0.0
10927,121,63211.2899018063,6340.49277416825,-0.0493003726005554,2.353448991899952,1.3192657365358105,716.7383422851562,17.88649201660291,1671.8600073570751,1.7483403700139009,6188.762596036465,1.2013430196440755,4560.221230444856,0.9912538569058984,0.3757877194741522,1.0
23351,57,157259.44774030807,4510.817160680747,0.3702751100063324,3.5981089521552674,0.8324063167821191,23131.439453125,11.242171260926424,3634.577068793562,0.2577408374697155,5479.763413369231,0.290370678590047,1848.5437901494247,0.4041389592628184,0.4633487339384408,1.0
22406,202,72111.6705768998,3182.2522435487763,-0.5653839111328125,4.051688561927348,1.0498698880687385,5.246257305145264,6.075421247123524,1530.979758520667,0.4675744606407969,2508.92102466379,0.3902954192296696,992.1388802985196,0.403698565869221,1.0,0.0
23280,111,41742.66619292367,3859.642341417709,-0.0671037063002586,2.4625169884959046,0.6962379547731924,3.926161050796509,1.5079897280817267,2231.586698405419,0.1412077008503794,4797.016860518628,0.118896167245252,2567.487639269175,0.1196866235983886,0.6092836034872599,1.0
6985,81,118602.38788358768,4075.957659088482,-0.3693769872188568,4.2028056807810685,0.5923317253783138,14.028484344482422,4.505018726931111,1364.56058165257,0.2140188152559543,2297.80022606405,0.2146404843225217,1058.8780185177138,0.2304228701371394,1.0,0.0
9733,90,69631.53809552289,3270.34322053837,-0.6361921429634094,4.010525247556945,0.4130604315593824,3.4172213077545166,1.2549194436297493,1934.143950382184,0.1575662630214358,3129.3875296773326,0.1771651179998705,1236.7953910408949,0.238412579033344,1.0,0.0
23594,77,117197.66651990074,3861.1953330588217,0.0217445716261863,3.7096296024666247,1.9322794093341948,17.611486434936523,8.745799774177318,1131.0827047568184,0.5941089895579355,2946.5376395016574,0.7586525337119717,1901.349979619744,0.9245233239742214,0.728222348533066,1.0
15003,194,50711.585154087545,3616.4375543329256,-0.6020665764808655,3.883878528182619,6.78436887863177,10.949828147888184,3.7942416659986216,1364.1566054526145,0.2847993077802031,2027.4733361501944,0.2114237196824786,831.0988998308204,0.1365366683626678,1.0,0.0
24211,95,128373.92388958094,3809.726634333943,0.0469756945967674,4.121200409674334,0.4093092000765809,28.03358459472656,9.292016671315224,2119.0728335760427,0.4155539463660768,2674.771551852606,0.4315352880105335,579.5996391475757,0.6440135094520693,1.064686609064063,1.0
15055,143,165749.90530115497,4713.049797832134,0.0144444890320301,4.031166669578486,1.2743663899764672,6.134178161621094,3.3004108410923627,750.603380354765,0.3753963754166034,2782.2131086780537,0.2102998619209512,2037.284710024596,0.1778803072526953,1.0,0.0
16660,122,50288.17836293077,3884.808340820262,-0.2932696938514709,3.637571803598018,6.045833291748831,3.262457132339477,1.87823003915921,1396.773264492129,0.482403951247097,2241.069353433757,0.3708144401197372,884.1789851608102,0.2748799494945563,1.0,0.0
25528,113,47530.45657234338,3695.694838535536,-0.5127895474433899,3.055628065754399,4.525494099844432,4.430638790130615,2.84837784361556,841.6545997616837,0.1645890387871948,3311.306059578305,0.2782487486602608,2554.297331204807,0.3229718703192892,1.0,0.0
16391,145,37057.32577434296,3567.188983797761,-0.4436758756637573,3.368432714247706,1.0905370045832246,4.848371505737305,2.109134291599279,622.7133674492623,0.2017789175145963,2361.189726917344,0.1907199330775419,1870.147500332528,0.2083527405736448,1.0,0.0
23643,146,71549.74528235372,7881.022295416541,-0.4484390020370483,2.515900230565415,4.461641876958369,11.112340927124023,2.883206307221178,2136.045914721872,0.1206059266167498,4052.8056783048455,0.1733437074778945,2022.724669968704,0.2416535999068221,1.0,0.0
11623,100,62406.825432228085,6246.429525509681,0.5619240999221802,2.462321428584512,0.7232325662998945,434.6850891113281,15.131760197016076,1254.6461341748916,1.165801113873488,4529.762666321493,0.9380620614714388,3332.2333662725364,0.9236521846893604,1.5927316217605028,1.0
12583,224,152966.88717617685,4425.996524939813,0.0245383027940988,3.303160684310696,1.0610238208009202,93.02820587158205,35.6631715082941,2243.4764771889186,0.2264913975874473,7208.913666822485,0.6481470238797528,4993.576733785113,0.8122249452955973,1.3756428598104715,1.0
5642,51,72253.98102477042,3377.577668935661,0.4315973818302154,3.2442009592440257,3.859466982808212,164.38014221191406,14.866823118945083,2228.09423079456,1.7912500564950786,3867.392483883683,1.3013765005779794,1639.5365922418446,0.9137133672149864,0.7583748078133592,1.0
2323,152,65540.88890639917,3418.57972304094,-0.0264979545027017,3.3083434332876727,3.193026852586332,13.774846076965332,3.2369726242277665,2569.890166096598,0.106131513954908,3521.939830945441,0.1129597991608034,1047.221238325503,0.1592364700168891,1.0,0.0
